                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.318,                 3.4158,                 3.1417,                0.15397,                0.19125,                  0.078,                0.02755,                 2.6029,                 2.7618,                 2.1674,             0.00055361,             0.00055361,             0.00055361
                      2,                 2.1946,                 1.9187,                 1.7288,                0.35245,                0.34619,                 0.2762,                0.13334,                 2.0375,                 1.8401,                 1.5646,              0.0010727,              0.0010727,              0.0010727
                      3,                 1.9022,                 1.6824,                 1.4814,                0.40902,                0.45699,                0.37899,                0.19364,                 1.7862,                 1.6218,                 1.3622,              0.0015551,              0.0015551,              0.0015551
                      4,                 1.7692,                  1.528,                 1.3813,                0.45692,                0.50441,                0.42861,                0.22823,                 1.6522,                 1.4744,                 1.3061,               0.001502,               0.001502,               0.001502
                      5,                   1.69,                 1.4497,                 1.3292,                0.43672,                0.39644,                0.33841,                0.18869,                 1.7082,                 1.7685,                 1.3463,               0.001502,               0.001502,               0.001502
                      6,                 1.6143,                 1.3975,                  1.286,                0.47585,                0.52079,                0.47401,                0.26354,                 1.5345,                 1.4031,                 1.2289,               0.001447,               0.001447,               0.001447
                      7,                 1.5492,                 1.3311,                  1.252,                0.50029,                0.49695,                0.46167,                0.24684,                 1.4802,                 1.3788,                 1.1844,              0.0013919,              0.0013919,              0.0013919
                      8,                 1.5267,                 1.2835,                 1.2288,                0.55009,                0.52035,                 0.5154,                0.30115,                 1.4763,                  1.252,                 1.1933,              0.0013369,              0.0013369,              0.0013369
                      9,                 1.4789,                 1.2568,                  1.214,                0.56179,                0.56014,                0.53492,                0.32729,                 1.3615,                 1.1686,                 1.1711,              0.0012819,              0.0012819,              0.0012819
                     10,                 1.4695,                 1.2354,                 1.2088,                0.55928,                0.56139,                 0.5498,                0.32431,                 1.4085,                 1.2092,                 1.1641,              0.0012269,              0.0012269,              0.0012269
                     11,                 1.4312,                 1.2158,                 1.1878,                0.58489,                0.54587,                0.54785,                0.32981,                 1.4113,                 1.1437,                 1.1654,              0.0011719,              0.0011719,              0.0011719
                     12,                 1.4033,                 1.1852,                  1.178,                0.55413,                0.58257,                0.56052,                0.33688,                 1.3418,                 1.1692,                 1.1333,              0.0011169,              0.0011169,              0.0011169
                     13,                 1.3926,                 1.1752,                 1.1663,                0.46178,                0.59305,                0.54181,                0.33247,                 1.3537,                 1.2657,                 1.1418,              0.0010619,              0.0010619,              0.0010619
                     14,                 1.3794,                 1.1516,                 1.1597,                0.56299,                0.59142,                0.57173,                0.34953,                 1.3174,                 1.0998,                 1.1088,              0.0010069,              0.0010069,              0.0010069
                     15,                 1.3741,                 1.1378,                 1.1566,                0.59033,                0.60072,                0.60166,                0.36641,                 1.3228,                 1.0779,                  1.108,             0.00095186,             0.00095186,             0.00095186
                     16,                 1.3329,                  1.121,                 1.1415,                0.54681,                0.60402,                0.59848,                0.37552,                 1.2454,                 1.1025,                 1.0849,             0.00089685,             0.00089685,             0.00089685
                     17,                 1.3311,                 1.0976,                 1.1356,                0.64392,                0.58893,                0.61758,                0.38323,                 1.2871,                 1.0051,                  1.108,             0.00084184,             0.00084184,             0.00084184
                     18,                 1.3281,                 1.0838,                 1.1371,                0.62985,                0.59788,                0.62113,                0.38789,                 1.2672,                0.99584,                 1.0925,             0.00078682,             0.00078682,             0.00078682
                     19,                  1.321,                 1.0721,                 1.1252,                0.62297,                0.59195,                0.61094,                0.37921,                 1.2855,                  1.038,                 1.0904,             0.00073181,             0.00073181,             0.00073181
                     20,                 1.3112,                  1.061,                 1.1268,                0.60616,                0.60205,                0.62273,                0.38898,                 1.2472,                 1.0143,                 1.0713,              0.0006768,              0.0006768,              0.0006768
                     21,                 1.2579,                 1.0287,                  1.093,                0.62568,                0.61522,                0.62856,                0.40608,                 1.2014,                 1.0053,                 1.0785,             0.00062179,             0.00062179,             0.00062179
                     22,                 1.2432,                 1.0129,                 1.0887,                0.63744,                0.61752,                0.64137,                0.41661,                 1.1811,                0.96635,                  1.063,             0.00056678,             0.00056678,             0.00056678
                     23,                 1.2305,                0.99303,                 1.0831,                0.64846,                0.60595,                0.63636,                0.41405,                 1.1812,                0.97498,                 1.0504,             0.00051177,             0.00051177,             0.00051177
                     24,                 1.2177,                0.98765,                 1.0758,                0.65022,                0.61465,                0.63928,                0.41527,                 1.1858,                0.96789,                 1.0565,             0.00045676,             0.00045676,             0.00045676
                     25,                 1.2108,                0.96277,                 1.0773,                0.66566,                0.61313,                0.65133,                0.42784,                 1.1626,                0.93739,                 1.0555,             0.00040175,             0.00040175,             0.00040175
                     26,                  1.204,                0.95423,                 1.0723,                 0.6662,                0.61463,                0.65337,                0.42863,                 1.1573,                0.93146,                 1.0487,             0.00034674,             0.00034674,             0.00034674
                     27,                 1.1794,                0.94067,                  1.063,                 0.6717,                0.62208,                 0.6623,                0.43692,                 1.1519,                0.90639,                 1.0501,             0.00029172,             0.00029172,             0.00029172
                     28,                 1.1798,                0.92084,                 1.0618,                0.67401,                0.62465,                0.66598,                0.44071,                 1.1367,                0.89883,                 1.0416,             0.00023671,             0.00023671,             0.00023671
                     29,                 1.1641,                0.90646,                 1.0596,                0.67555,                0.63109,                0.67013,                0.44245,                 1.1365,                0.88728,                 1.0425,              0.0001817,              0.0001817,              0.0001817
                     30,                 1.1612,                0.90142,                 1.0547,                0.67635,                 0.6178,                0.65861,                0.43945,                 1.1258,                0.91838,                 1.0381,             0.00012669,             0.00012669,             0.00012669
